"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031507","GO:0031507","heterochromatin formation","29/1612","163/18860",0.177914110429448,2.0815509446026,4.23962355481861,0.000118304071649717,0.0157345073049004,0.0146587512808034,"CDKN2B-AS1/DYRK1A/EED/EHMT1/H2AC11/H2AC12/H2AC13/H2AC19/H2AC20/H2AC25/H2AC6/H2AC8/HMGA2/JARID2/L3MBTL1/LMNB2/MAEL/MBD3/PCGF3/PPM1D/SMARCA4/SMARCA5/SMCHD1/SPEN/SPIN1/SUV39H1/TDRD5/TRIM28/UHRF1",29
"GO:0006261","GO:0006261","DNA-templated DNA replication","30/1612","171/18860",0.175438596491228,2.05258804579687,4.22703587641746,0.000118325748756637,0.0157345073049004,0.0146587512808034,"ATM/CDC34/CDC45/CDC6/CDC7/CDK1/CDT1/CHRAC1/DDX11/DNAJA3/DYNLL1/ENDOG/FZR1/GMNN/KAT7/LIG3/LRWD1/MCM2/ORC6/POLA1/POLA2/RBBP8/RFC3/RTEL1/SENP2/SETMAR/TWNK/UPF1/WDR18/WRNIP1",30
"GO:0007095","GO:0007095","mitotic G2 DNA damage checkpoint signaling","11/1612","36/18860",0.305555555555556,3.57492417976289,4.72750738596342,0.00013857499346531,0.0179986357791571,0.0167680830526078,"ATM/BABAM2/BRSK1/CDK1/DTL/FOXO4/FZR1/TAOK1/TAOK2/TAOK3/TRIM39",11
"GO:0008380","GO:0008380","RNA splicing","66/1612","490/18860",0.13469387755102,1.57588494454854,3.94867748962056,0.000144135277674882,0.018295352859414,0.0170445138169125,"AKAP17A/ARMC7/CDC5L/CLASRP/CRIPT/DAZAP1/DCPS/DDX39A/DDX42/DHX8/DHX9/DNAJC17/DYRK1A/FMR1/FUS/GEMIN2/HNRNPA1/HNRNPH2/HNRNPH3/HNRNPM/HTATSF1/ILF3/KHDRBS1/KHSRP/LARP7/LSM8/MPHOSPH10/NPM1/PPP4R2/PRPF6/PTBP1/QKI/RBFOX1/RBM14/RBM42/RBMX2/RRP1B/SAP18/SART1/SCAF1/SF3A2/SNRNP25/SNRNP70/SNRPN/SRRM2/SRSF5/SRSF6/STRAP/TADA2B/TAF12-DT/THOC6/TMBIM6/TSEN15/TSEN2/TSEN34/TSEN54/TSSC4/U2AF2/UBL5/UPF1/USP39/YBX1/YJU2B/ZMAT2/ZNF638/ZRSR2",66
"GO:1902750","GO:1902750","negative regulation of cell cycle G2/M phase transition","17/1612","75/18860",0.226666666666667,2.65194375516956,4.38220576399667,0.000157652017214766,0.0195663670254326,0.01822862973316,"ATM/BABAM2/BRSK1/CDC6/CDK1/DTL/FOXO4/FZR1/INTS3/NABP2/PABIR1/RBBP8/TAOK1/TAOK2/TAOK3/TRIM39/ZFYVE19",17
"GO:0070507","GO:0070507","regulation of microtubule cytoskeleton organization","29/1612","168/18860",0.172619047619048,2.01960002363228,4.05815909303482,0.00020351894169164,0.0242601729801962,0.022601523826247,"APC/APC2/BBOF1/CDK5R1/CHMP2B/CHMP5/CHMP7/CKAP2/DIXDC1/DYNC1H1/DYRK1A/EML2/FSD1/GNAI1/GPSM2/MAPRE2/MAPRE3/MAPT/PARP3/PKD1/RAE1/RCC1/RHOA/RNF4/SKA1/SPAST/SPECC1L/TAOK1/TRAF3IP1",29
"GO:1901987","GO:1901987","regulation of cell cycle phase transition","63/1612","468/18860",0.134615384615385,1.57496659667876,3.85055684562226,0.000205364126082613,0.0242601729801962,0.022601523826247,"ACTB/ANAPC11/ANLN/APC/ATM/BABAM2/BCL7A/BRSK1/BUB3/CCNB1/CDC14A/CDC25B/CDC45/CDC5L/CDC6/CDC7/CDC73/CDK1/CDK10/CDT1/CENPF/CEP63/CPSF3/DACT1/DDX3X/DPF2/DTL/FBXO7/FOXO4/FZR1/HASPIN/ID2/INTS3/KNL1/MARK3/MEPCE/NABP2/NPM1/NSMCE2/PABIR1/PKD1/PKD2/PLK3/PRMT2/RAD9A/RBBP8/SENP2/SETMAR/SKA1/SMARCA4/SMARCB1/SPDL1/TAOK1/TAOK2/TAOK3/TELO2/TFDP1/TMEM14B/TMOD3/TRIM39/UBE2E2/WAC/ZFYVE19",63
"GO:1901991","GO:1901991","negative regulation of mitotic cell cycle phase transition","32/1612","193/18860",0.16580310880829,1.93985523084637,4.01212847012774,0.000211823575252225,0.0242601729801962,0.022601523826247,"APC/ATM/BABAM2/BRSK1/BUB3/CCNB1/CDC6/CDC73/CDK1/CENPF/DACT1/DTL/FBXO7/FOXO4/FZR1/HASPIN/INTS3/KNL1/NABP2/PABIR1/PKD2/PLK3/PRMT2/RBBP8/SKA1/SPDL1/TAOK1/TAOK2/TAOK3/TRIM39/WAC/ZFYVE19",32
"GO:0018193","GO:0018193","peptidyl-amino acid modification","56/1612","404/18860",0.138613861386139,1.62174778271872,3.86196749554938,0.000214174176266102,0.0242601729801962,0.022601523826247,"ABI2/ACVR1B/ANTKMT/APOA1/ARAF/ARL2BP/ATM/BRSK1/CDK1/CDK10/CDK5R1/CNOT9/DDR1/DIP2A/DYRK1A/EGLN2/EGR1/EHMT1/EPHB2/FLT4/GADD45A/HDAC4/IGF1R/JAK2/KAT7/KIT/MORC3/NNAT/NRG1/NSMCE2/NTMT1/PDCL3/PIAS1/PIAS4/PML/PPIA/PRKCE/QPCTL/RANBP2/RIPK2/SAE1/SENP2/SENP3/SETD6/SIRT5/SOCS4/TBK1/TOP1/TRIM28/TTLL4/UBA2/UBE2I/UBE2K/UHRF2/VKORC1L1/ZDHHC14",56
"GO:0051052","GO:0051052","regulation of DNA metabolic process","66/1612","497/18860",0.132796780684105,1.55368938194926,3.82423920692828,0.00021719044745028,0.0242601729801962,0.022601523826247,"ACTB/APLF/ATM/BABAM2/BCL7A/CCT5/CDC6/CDC7/CDK1/CDT1/CHRAC1/CHTF18/DDX11/DFFB/DHX9/DKC1/DPF2/DYNLL1/ENDOG/EPC2/ERCC4/FUS/GMNN/HMGA2/HNRNPA1/HSF1/ING5/INO80C/INO80E/KAT7/LIG3/MAP2K7/MCM2/MLH1/NABP2/NAT10/NSMCE2/OGG1/PARP3/PIAS4/PKIB/PML/PPP4R2/PRDM9/RAD51AP1/RFC3/RTEL1/SENP2/SENP3/SETMAR/SIRT7/SMARCA4/SMARCA5/SMARCB1/SMCHD1/SPIRE2/SUV39H1/TADA2B/TFDP1/TIGAR/TNKS2/TRIM28/UPF1/USP1/WRNIP1/YLPM1",66
